cross_street_name,crimename1,crime_count
MONROE PL,Crime Against Person,2
MONROE PL,Crime Against Property,3
MONROE ST,Crime Against Property,3
MONTGOMERY AVE,Crime Against Person,5
MONTGOMERY AVE,Crime Against Property,9
MONTGOMERY AVE,Crime Against Society,2
MONTGOMERY VILLAGE AVE,Crime Against Person,4
MONTGOMERY VILLAGE AVE,Crime Against Property,7
MONTGOMERY VILLAGE AVE,Crime Against Society,15
MONTROSE RD,Crime Against Society,3
MOUNTAIN LAUREL LA,Crime Against Property,2
MT PISGAH RD,Crime Against Person,3
MT PISGAH RD,Crime Against Property,38
MT PISGAH RD,Crime Against Society,4
MT PLEASANT AVE,Crime Against Person,5
MT PLEASANT AVE,Crime Against Property,8
MT PLEASANT AVE,Crime Against Society,6
MUNCASTER MILL RD,Crime Against Person,4
MUNCASTER MILL RD,Crime Against Property,16
MUNCASTER MILL RD,Crime Against Society,1
MUNCASTER RD,Crime Against Person,1
MUNCASTER RD,Crime Against Property,13
MUNCASTER RD,Crime Against Society,1
MUSGROVE RD,Crime Against Property,3
MUSGROVE RD,Crime Against Society,1
N ADAMS ST,Crime Against Person,14
N ADAMS ST,Crime Against Property,14
N ADAMS ST,Crime Against Society,4
N STONESTREET AVE,Crime Against Person,1
N STONESTREET AVE,Crime Against Property,7
N WASHINGTON ST,Crime Against Person,5
N WASHINGTON ST,Crime Against Property,15
N WASHINGTON ST,Crime Against Society,4
N&S MEADOW FENCE RD,Crime Against Property,2
NATIONAL DR,Crime Against Property,5
NATIONAL DR,Crime Against Society,2
NEBEL ST,Crime Against Person,8
NEBEL ST,Crime Against Property,2
NEW HAMPSHIRE AVE,Crime Against Person,13
NEW HAMPSHIRE AVE,Crime Against Property,92
NEW HAMPSHIRE AVE,Crime Against Society,12
NEWPORT MILL RD,Crime Against Not a Crime,2
NEWPORT MILL RD,Crime Against Person,6
NEWPORT MILL RD,Crime Against Property,8
NICHOLSON LA,Crime Against Person,6
NICHOLSON LA,Crime Against Property,54
NICHOLSON LA,Crime Against Society,2
NO NAME,Crime Against Person,4
NO NAME,Crime Against Property,1
NO NAME,Crime Against Society,8
NORBECK RD,Crime Against Person,5
NORBECK RD,Crime Against Property,30
NORBECK RD,Crime Against Society,2
NORTH HIGH ST,Crime Against Person,1
NORTH HIGH ST,Crime Against Property,5
NORWOOD RD,Crime Against Property,3
NORWOOD RD,Crime Against Society,3
NOTLEY RD,Crime Against Property,2
NOYES DR,Crime Against Society,2
OAKVIEW DR,Crime Against Property,6
OBSERVATION DR,Crime Against Person,5
OBSERVATION DR,Crime Against Property,9
OBSERVATION DR,Crime Against Society,27
ODENDHAL AVE,Crime Against Person,10
ODENDHAL AVE,Crime Against Property,22
ODENDHAL AVE,Crime Against Society,3
OLD COLUMBIA PIKE,Crime Against Person,2
